Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Club,Chrome 135.0.7049.95,,,17-04-2025 19:59:37,17-04-2025 20:04:10,"4m - 32,448s",PASSED
,,,,,,,
"Test Cases/Club/CREATE account, club, team, payment",Chrome 135.0.7049.95,,,17-04-2025 19:59:38,17-04-2025 20:01:01,"1m - 23,808s",PASSED
counter = Math.random() * 100000,Chrome 135.0.7049.95,,,17-04-2025 19:59:38,17-04-2025 19:59:38,"0,026s",PASSED
"email = counter + ""Test_email_for_club@gmail.com""",Chrome 135.0.7049.95,,,17-04-2025 19:59:38,17-04-2025 19:59:38,"0,004s",PASSED
"openBrowser(""http://USAV:demo@dev.swstage.com/"")",Chrome 135.0.7049.95,,,17-04-2025 19:59:38,17-04-2025 19:59:43,"4,812s",PASSED
maximizeWindow(),Chrome 135.0.7049.95,,,17-04-2025 19:59:43,17-04-2025 19:59:43,"0,058s",PASSED
"navigateToUrl(""http://USAV:demo@my.dev.swstage.com/#/"")",Chrome 135.0.7049.95,,,17-04-2025 19:59:43,17-04-2025 19:59:46,"2,970s",PASSED
"click(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/a_SIGN UP""))",Chrome 135.0.7049.95,,,17-04-2025 19:59:46,17-04-2025 19:59:46,"0,467s",PASSED
"setText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_Registration_first""), ""Tara"")",Chrome 135.0.7049.95,,,17-04-2025 19:59:46,17-04-2025 19:59:47,"1,092s",PASSED
"setText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_false_last""), ""Charles"")",Chrome 135.0.7049.95,,,17-04-2025 19:59:47,17-04-2025 19:59:48,"0,525s",PASSED
"setText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_false_email""), email)",Chrome 135.0.7049.95,,,17-04-2025 19:59:48,17-04-2025 19:59:48,"0,533s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_false_password""), ""SFTQUhjBfIY="")",Chrome 135.0.7049.95,,,17-04-2025 19:59:48,17-04-2025 19:59:49,"0,299s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_false_password_confirmation""), ""SFTQUhjBfIY="")",Chrome 135.0.7049.95,,,17-04-2025 19:59:49,17-04-2025 19:59:49,"0,279s",PASSED
"setText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_1_phone_mob""), ""(855) 555-5555"")",Chrome 135.0.7049.95,,,17-04-2025 19:59:49,17-04-2025 19:59:49,"0,509s",PASSED
"setText(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_Will only be used to resolve account _8e33be""), ""12345"")",Chrome 135.0.7049.95,,,17-04-2025 19:59:49,17-04-2025 19:59:50,"0,510s",PASSED
"click(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/input_Spectator_clubDirector""))",Chrome 135.0.7049.95,,,17-04-2025 19:59:50,17-04-2025 19:59:50,"0,275s",PASSED
delay(1),Chrome 135.0.7049.95,,,17-04-2025 19:59:50,17-04-2025 19:59:51,"1,037s",PASSED
"click(findTestObject(""Create account/Page_SportWrench - The Home of Sporting Events/button_Sign Up""))",Chrome 135.0.7049.95,,,17-04-2025 19:59:51,17-04-2025 19:59:52,"0,286s",PASSED
"click(findTestObject(""Create account/Page_SportWrench - The Home of Sporting Events/button_Sign Up""))",Chrome 135.0.7049.95,,,17-04-2025 19:59:52,17-04-2025 19:59:52,"0,498s",PASSED
delay(2),Chrome 135.0.7049.95,,,17-04-2025 19:59:52,17-04-2025 19:59:54,"2,009s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Create account/Page_SportWrench - The Home of Sporting Events/h2_Successfully registered""), 0)",Chrome 135.0.7049.95,,,17-04-2025 19:59:54,17-04-2025 19:59:54,"0,248s",PASSED
"newTab("""")",Chrome 135.0.7049.95,,,17-04-2025 19:59:54,17-04-2025 19:59:54,"0,064s",PASSED
