Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Team Payment,Chrome 135.0.7049.84,,,12-04-2025 23:20:58,12-04-2025 23:22:55,"1m - 56,904s",FAILED
,,,,,,,
Test Cases/Create an Event For Teams,Chrome 135.0.7049.84,,,12-04-2025 23:20:58,12-04-2025 23:21:56,"58,041s",PASSED
"openBrowser(""http://USAV:demo@dev.swstage.com/"")",Chrome 135.0.7049.84,,,12-04-2025 23:20:58,12-04-2025 23:21:03,"4,725s",PASSED
"navigateToUrl(""http://USAV:demo@my.dev.swstage.com/#/"")",Chrome 135.0.7049.84,,,12-04-2025 23:21:03,12-04-2025 23:21:06,"2,916s",PASSED
maximizeWindow(),Chrome 135.0.7049.84,,,12-04-2025 23:21:06,12-04-2025 23:21:06,"0,065s",PASSED
"setText(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/input_Log In_email""), ""dcgfcgchfhgvhv@gmail.com"")",Chrome 135.0.7049.84,,,12-04-2025 23:21:06,12-04-2025 23:21:07,"0,658s",PASSED
"setEncryptedText(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/input_false_password""), ""ugkk24xDMrWrlVpEbACuNZEQlZ6qfcdw"")",Chrome 135.0.7049.84,,,12-04-2025 23:21:07,12-04-2025 23:21:07,"0,324s",PASSED
"click(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/button_Log In""))",Chrome 135.0.7049.84,,,12-04-2025 23:21:07,12-04-2025 23:21:07,"0,305s",PASSED
"click(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/a_New Event""))",Chrome 135.0.7049.84,,,12-04-2025 23:21:07,12-04-2025 23:21:10,"2,344s",PASSED
"click(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/span_Event Details""))",Chrome 135.0.7049.84,,,12-04-2025 23:21:10,12-04-2025 23:21:10,"0,628s",PASSED
"setText(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/input_Event Name_long_name""), ""123Test Event"")",Chrome 135.0.7049.84,,,12-04-2025 23:21:10,12-04-2025 23:21:11,"0,537s",PASSED
"setText(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/input_Short Name_name""), ""TE"")",Chrome 135.0.7049.84,,,12-04-2025 23:21:11,12-04-2025 23:21:12,"0,517s",PASSED
"click(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/input_Teams_allow_teams_registration""))",Chrome 135.0.7049.84,,,12-04-2025 23:21:12,12-04-2025 23:21:12,"0,370s",PASSED
"click(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/input_Ticket Sales_allow_ticket_sales""))",Chrome 135.0.7049.84,,,12-04-2025 23:21:12,12-04-2025 23:21:12,"0,593s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/select_Choose a Timezone .AmericaNew_YorkAm_0bdf4d""), ""America/New_York"", true)",Chrome 135.0.7049.84,,,12-04-2025 23:21:12,12-04-2025 23:21:13,"0,889s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/EVENT FOR TEAMS/Page_SportWrench - The Home of Sporting Events/select_Choose Sport .VolleyballBasketballSo_1c54a4""), ""2"", true)",Chrome 135.0.7049.84,,,12-04-2025 23:21:13,12-04-2025 23:21:14,"0,821s",PASSED
