Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ticket Refunds,Chrome 136.0.7103.114,,,26-05-2025 23:17:40,26-05-2025 23:19:33,"1m - 52,750s",PASSED
,,,,,,,
Test Cases/111Ticket refund/Ticket Payment for refund,Chrome 136.0.7103.114,,,26-05-2025 23:17:41,26-05-2025 23:18:03,"22,085s",PASSED
"openBrowser(""http://USAV:demo@dev.swstage.com/"")",Chrome 136.0.7103.114,,,26-05-2025 23:17:41,26-05-2025 23:17:45,"4,444s",PASSED
"navigateToUrl(""http://USAV:demo@tickets-dev.swstage.com/"")",Chrome 136.0.7103.114,,,26-05-2025 23:17:45,26-05-2025 23:17:47,"1,882s",PASSED
maximizeWindow(),Chrome 136.0.7103.114,,,26-05-2025 23:17:47,26-05-2025 23:17:47,"0,133s",PASSED
"setText(findTestObject(""Object Repository/Ticket purchase/Page_SW  Tickets/input_Available Events_form-control ng-pris_aaf354""), ""[AUTOTESTS] Tickets refunds (do not touch!)"")",Chrome 136.0.7103.114,,,26-05-2025 23:17:47,26-05-2025 23:17:49,"1,259s",PASSED
"click(findTestObject(""Spy Web/Page_SportWrench - The Home of Sporting Events/Page_SW  Tickets/b_AUTOTESTS Tickets refunds (do not touch)""))",Chrome 136.0.7103.114,,,26-05-2025 23:17:49,26-05-2025 23:17:51,"2,335s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_None""))",Chrome 136.0.7103.114,,,26-05-2025 23:17:51,26-05-2025 23:17:51,"0,307s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_1""))",Chrome 136.0.7103.114,,,26-05-2025 23:17:51,26-05-2025 23:17:52,"0,290s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_Purchaser Info_1""))",Chrome 136.0.7103.114,,,26-05-2025 23:17:52,26-05-2025 23:17:52,"0,521s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_I Agree""))",Chrome 136.0.7103.114,,,26-05-2025 23:17:52,26-05-2025 23:17:53,"0,504s",PASSED
"setText(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/input__purchaserFirst""), ""Tara"")",Chrome 136.0.7103.114,,,26-05-2025 23:17:53,26-05-2025 23:17:53,"0,765s",PASSED
